Phylo,Family,Order,Scientific_name,Mass
Platysmurus_leucopterus,Corvidae,Passeriformes,Platysmurus leucopterus,180
Podoces_biddulphi,Corvidae,Passeriformes,Podoces biddulphi,130.5
Podoces_hendersoni,Corvidae,Passeriformes,Podoces hendersoni,120.5
Podoces_panderi,Corvidae,Passeriformes,Podoces panderi,91.1
Podoces_pleskei,Corvidae,Passeriformes,Podoces pleskei,87.5
Ptilostomus_afer,Corvidae,Passeriformes,Ptilostomus afer,128
Pyrrhocorax_graculus,Corvidae,Passeriformes,Pyrrhocorax graculus,211
Pyrrhocorax_pyrrhocorax,Corvidae,Passeriformes,Pyrrhocorax pyrrhocorax,276.7
Temnurus_temnurus,Corvidae,Passeriformes,Temnurus temnurus,138
Urocissa_caerulea,Corvidae,Passeriformes,Urocissa caerulea,257
Urocissa_erythrorhyncha,Corvidae,Passeriformes,Urocissa erythrorhyncha,151.5
Urocissa_flavirostris,Corvidae,Passeriformes,Urocissa flavirostris,149.2
Urocissa_ornata,Corvidae,Passeriformes,Urocissa ornata,196
Urocissa_whiteheadi,Corvidae,Passeriformes,Urocissa whiteheadi,200
Zavattariornis_stresemanni,Corvidae,Passeriformes,Zavattariornis stresemanni,130
Ampelioides_tschudii,Cotingidae,Passeriformes,Ampelioides tschudii,78.4
Ampelion_rubrocristatus,Cotingidae,Passeriformes,Ampelion rubrocristatus,66.3
Ampelion_rufaxilla,Cotingidae,Passeriformes,Ampelion rufaxilla,73.9
Calyptura_cristata,Cotingidae,Passeriformes,Calyptura cristata,7.8
Carpodectes_antoniae,Cotingidae,Passeriformes,Carpodectes antoniae,98
Carpodectes_hopkei,Cotingidae,Passeriformes,Carpodectes hopkei,102
Carpodectes_nitidus,Cotingidae,Passeriformes,Carpodectes nitidus,101.6
Carpornis_cucullata,Cotingidae,Passeriformes,Carpornis cucullata,74.2
Carpornis_melanocephala,Cotingidae,Passeriformes,Carpornis melanocephala,64.2
Cephalopterus_glabricollis,Cotingidae,Passeriformes,Cephalopterus glabricollis,379.5
Cephalopterus_ornatus,Cotingidae,Passeriformes,Cephalopterus ornatus,380
Cephalopterus_penduliger,Cotingidae,Passeriformes,Cephalopterus penduliger,338
Conioptilon_mcilhennyi,Cotingidae,Passeriformes,Conioptilon mcilhennyi,90
Cotinga_amabilis,Cotingidae,Passeriformes,Cotinga amabilis,71.5
Cotinga_cayana,Cotingidae,Passeriformes,Cotinga cayana,61.8
Cotinga_cotinga,Cotingidae,Passeriformes,Cotinga cotinga,54
Cotinga_maculata,Cotingidae,Passeriformes,Cotinga maculata,65
Cotinga_maynana,Cotingidae,Passeriformes,Cotinga maynana,69
Cotinga_nattererii,Cotingidae,Passeriformes,Cotinga nattererii,57.2
Cotinga_ridgwayi,Cotingidae,Passeriformes,Cotinga ridgwayi,57.2
Doliornis_remseni,Cotingidae,Passeriformes,Doliornis remseni,63.1
Doliornis_sclateri,Cotingidae,Passeriformes,Doliornis sclateri,60.2
Gymnoderus_foetidus,Cotingidae,Passeriformes,Gymnoderus foetidus,275.5
Haematoderus_militaris,Cotingidae,Passeriformes,Haematoderus militaris,227
Iodopleura_fusca,Cotingidae,Passeriformes,Iodopleura fusca,15.3
Iodopleura_isabellae,Cotingidae,Passeriformes,Iodopleura isabellae,20
Iodopleura_pipra,Cotingidae,Passeriformes,Iodopleura pipra,10
Laniisoma_buckleyi,Cotingidae,Passeriformes,Laniisoma buckleyi,47.1
Laniisoma_elegans,Cotingidae,Passeriformes,Laniisoma elegans,47.4
Laniocera_hypopyrra,Cotingidae,Passeriformes,Laniocera hypopyrra,51
Laniocera_rufescens,Cotingidae,Passeriformes,Laniocera rufescens,48.1
Lipaugus_fuscocinereus,Cotingidae,Passeriformes,Lipaugus fuscocinereus,138
Lipaugus_lanioides,Cotingidae,Passeriformes,Lipaugus lanioides,94.8
Lipaugus_streptophorus,Cotingidae,Passeriformes,Lipaugus streptophorus,57.2
Lipaugus_unirufus,Cotingidae,Passeriformes,Lipaugus unirufus,82.1
Lipaugus_uropygialis,Cotingidae,Passeriformes,Lipaugus uropygialis,116
Lipaugus_vociferans,Cotingidae,Passeriformes,Lipaugus vociferans,75.4
