Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Haematoderus_militaris,Cotingidae,Passeriformes,Haematoderus militaris,38.6,21.4,14.9,12.3,27.9,212,51.5,157.8,24.5,137.6,227,Forest,2,1,Carnivore,Invertivore,Insessorial,-12.51,6.97,1.18,-55.51,1043733.97,Extant
Iodopleura_fusca,Cotingidae,Passeriformes,Iodopleura fusca,10.9,7.4,5.9,4.4,15.6,75.8,21.2,54.6,28,37.6,15.3,Forest,1,1,Carnivore,Invertivore,Insessorial,0.85,7.58,4.62,-57.08,444576.7,Extant
Iodopleura_isabellae,Cotingidae,Passeriformes,Iodopleura isabellae,11.5,6.5,5.2,4.1,13.7,74.2,19.4,55.5,25.9,37.2,20,Forest,1,1,Carnivore,Invertivore,Insessorial,-13.33,5.85,-4.75,-63.77,4495732.17,Extant
Iodopleura_pipra,Cotingidae,Passeriformes,Iodopleura pipra,8.2,4.5,3.6,3.5,13.9,56.6,13.7,43,24.1,32,10,Forest,1,1,Herbivore,Frugivore,Insessorial,-25.22,-6.7,-22.35,-44.02,130157.72,Extant
Laniisoma_buckleyi,Cotingidae,Passeriformes,Laniisoma buckleyi,19.6,12,6,5.6,21.5,99.8,22,77.8,22,59.6,47.1,Forest,1,1,Omnivore,Omnivore,Insessorial,-16.1,7.63,-6.44,-72.79,35911.33,Extant
Laniisoma_elegans,Cotingidae,Passeriformes,Laniisoma elegans,20.3,13.2,5.4,6.1,22.5,103.5,26.9,76.6,26,61,47.4,Forest,1,1,Omnivore,Omnivore,Insessorial,-25.89,-18.48,-22.35,-44.62,172527.96,Extant
Laniocera_hypopyrra,Cotingidae,Passeriformes,Laniocera hypopyrra,21.8,12,6.1,6.2,20.4,105.5,24.7,80.6,23.5,84.9,51,Forest,1,1,Carnivore,Invertivore,Insessorial,-20.16,10.48,-3.66,-62.18,6630155.4,Extant
Laniocera_rufescens,Cotingidae,Passeriformes,Laniocera rufescens,20.4,13.3,6,6.9,21.6,108.8,23.6,85.2,21.6,89.8,48.1,Forest,1,1,Carnivore,Omnivore,Insessorial,0.12,17.64,10.82,-82.42,394176.44,Extant
Lipaugus_fuscocinereus,Cotingidae,Passeriformes,Lipaugus fuscocinereus,29.3,15.8,10.1,9.3,29,182.2,33.6,148.7,18.5,158.2,138,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.2,7.43,1.6,-76.47,42613.15,Extant
Lipaugus_lanioides,Cotingidae,Passeriformes,Lipaugus lanioides,26.1,16,8,8.3,24.6,133.8,22.8,111,17,116,94.8,Forest,1,1,Herbivore,Frugivore,Insessorial,-27.36,-14.44,-22.23,-44.44,201153.3,Extant
