"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"37","Grallaria_griseonucha","Formicariidae","Passeriformes","Grallaria_griseonucha",21,12,5,6.9,45.3,83,8.8,74.3,10.6,36.8,44.8,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",7.45,9.52,8.51,-71.19,8253.14,"Extant"
"38","Grallaria_guatimalensis","Formicariidae","Passeriformes","Grallaria_guatimalensis",30.8,16.1,7,8.9,45.2,105.8,18.1,85.3,17.8,43.7,94.2,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-19.07,21.37,5.39,-78.44,1176165.53,"Extant"
"39","Grallaria_haplonota","Formicariidae","Passeriformes","Grallaria_haplonota",27.4,15.7,7.1,8.9,44.7,100.7,12.1,88.6,12,43.3,85,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-11.15,10.72,0.52,-75.94,87992.13,"Extant"
"40","Grallaria_hypoleuca","Formicariidae","Passeriformes","Grallaria_hypoleuca",23.6,14.3,6.4,7.8,45.6,89.5,4.7,84.4,5.2,52.2,73.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-5.78,7.33,0.55,-76.64,62353.38,"Extant"
"41","Grallaria_kaestneri","Formicariidae","Passeriformes","Grallaria_kaestneri",22.1,13.3,5.2,6,42.4,82.7,6.1,76.6,7.4,51.4,47.5,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",4.21,4.75,4.46,-73.58,444.3,"Extant"
"42","Grallaria_milleri","Formicariidae","Passeriformes","Grallaria_milleri",20.9,12.9,6.1,6.9,44.3,85.6,9.4,76.9,10.9,48.8,52.5,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",3.69,5.82,4.67,-75.46,12355.13,"Extant"
"43","Grallaria_nuchalis","Formicariidae","Passeriformes","Grallaria_nuchalis",27.9,15.9,7,9.4,57.4,110.4,5.2,106.7,4.7,61.7,117,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-5.35,7.21,1.18,-77.2,63486.16,"Extant"
"44","Grallaria_przewalskii","Formicariidae","Passeriformes","Grallaria_przewalskii",23.4,13.6,5.9,7.4,48.4,92.8,7.8,85.4,8.4,55.9,65.2,"Forest",1,1,"Omnivore","Omnivore","Terrestrial",-8.96,-5.29,-6.94,-77.5,26356.12,"Extant"
"45","Grallaria_quitensis","Formicariidae","Passeriformes","Grallaria_quitensis",26,14.8,6.3,7.5,47,93.9,7.4,88.8,7.7,54.9,65.7,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",-8.21,7.31,1.34,-76.28,117313.46,"Extant"
"46","Grallaria_ridgelyi","Formicariidae","Passeriformes","Grallaria_ridgelyi",32,20.4,9.2,12.4,68.6,128.3,10.7,117.8,8.3,53.6,179.5,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-4.95,-4.24,-4.48,-79.07,120.44,"Extant"
"47","Grallaria_ruficapilla","Formicariidae","Passeriformes","Grallaria_ruficapilla",28.7,16.2,6.8,8.2,51.8,97.3,5,94.4,5.1,58.1,82.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-7.48,10.91,2.11,-75.84,239637.78,"Extant"
