"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"38","Lipaugus_weberi","Cotingidae","Passeriformes","Lipaugus_weberi",22.2,13.9,7,7.1,22.5,127.8,27,100.8,21,106.9,72.1,"Forest",1,1,"Herbivore","Frugivore","Insessorial",6.88,7.13,6.96,-75.07,41.87,"Extant"
"39","Oxyruncus_cristatus","Cotingidae","Passeriformes","Oxyruncus_cristatus",17.9,11.3,5.5,5.6,20.7,92.2,24,67.2,26.3,64.3,42,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-27.06,11,-10.17,-53.72,1872045.95,"Extant"
"40","Pachyramphus_aglaiae","Cotingidae","Passeriformes","Pachyramphus_aglaiae",16.9,11.3,7.1,6.6,19.7,86,17.4,68.9,20.1,66.2,29.7,"Forest",1,2,"Omnivore","Omnivore","Insessorial",7.22,32.02,19.64,-96.6,1314371.45,"Extant"
"41","Pachyramphus_albogriseus","Cotingidae","Passeriformes","Pachyramphus_albogriseus",15.6,9.9,7.1,5.5,17.7,71.2,18.3,52.9,25.7,54,17.3,"Forest",1,1,"Omnivore","Omnivore","Insessorial",-12.53,11.19,-0.74,-76.74,341646.91,"Extant"
"42","Pachyramphus_castaneus","Cotingidae","Passeriformes","Pachyramphus_castaneus",14.3,9.6,6.2,5.1,18.3,74.1,14,62.4,18.3,59.9,19.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-29.45,11.2,-10.55,-58.67,5788367.53,"Extant"
"43","Pachyramphus_cinnamomeus","Cotingidae","Passeriformes","Pachyramphus_cinnamomeus",16.8,10.6,7.6,5.6,19.7,77,16.1,61.5,20.7,59.4,20.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.73,17.81,9.82,-80.11,701563.57,"Extant"
"44","Pachyramphus_homochrous","Cotingidae","Passeriformes","Pachyramphus_homochrous",19.4,13.3,7.7,7.4,20.6,87.5,18,69.5,20.6,71.2,37.3,"Forest",1,2,"Omnivore","Omnivore","Insessorial",-4.82,11.49,5.68,-76.34,370203.78,"Extant"
"45","Pachyramphus_major","Cotingidae","Passeriformes","Pachyramphus_major",15.8,10.8,7.2,6.2,19.5,81.8,20.7,60,25.6,63.6,24.8,"Forest",2,3,"Omnivore","Omnivore","Insessorial",12.99,29.14,19.3,-95.33,555625.41,"Extant"
"46","Pachyramphus_marginatus","Cotingidae","Passeriformes","Pachyramphus_marginatus",14.7,10.1,6.9,5.2,18.5,67.7,15,53.7,21.8,50.4,18.4,"Forest",1,1,"Omnivore","Omnivore","Insessorial",-24.96,8.35,-4.48,-62.18,6344951.42,"Extant"
"47","Pachyramphus_minor","Cotingidae","Passeriformes","Pachyramphus_minor",19.3,13.5,8.4,7.6,20.9,89.2,18,71,20.3,65.1,36.6,"Forest",1,2,"Omnivore","Omnivore","Insessorial",-18.32,8.56,-4.7,-62.06,6895984.62,"Extant"
"48","Pachyramphus_niger","Cotingidae","Passeriformes","Pachyramphus_niger",20.5,13.7,8.4,7.4,23.8,99.2,16.5,82,16.7,76.4,40.2,"Forest",2,2,"Omnivore","Omnivore","Insessorial",17.7,18.53,18.16,-77.31,11021.79,"Extant"
"49","Pachyramphus_polychopterus","Cotingidae","Passeriformes","Pachyramphus_polychopterus",14.9,10.4,7,5.7,18.7,72,16.4,58.5,21.8,55.7,20.8,"Forest",2,1,"Omnivore","Invertivore","Insessorial",-35.01,16.68,-9.65,-58.37,13935213.9,"Extant"
"50","Pachyramphus_rufus","Cotingidae","Passeriformes","Pachyramphus_rufus",14.6,10,6.6,5.4,17.5,67.6,14.2,54,20.8,48.4,18.8,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-9.76,12.64,0.03,-61.5,3994359.03,"Extant"
"51","Pachyramphus_spodiurus","Cotingidae","Passeriformes","Pachyramphus_spodiurus",15.9,10.7,6.9,5.5,18.9,75.2,16.8,58.8,22.2,59,18.2,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-5.74,1.27,-1.94,-79.76,40652.05,"Extant"
"52","Pachyramphus_surinamus","Cotingidae","Passeriformes","Pachyramphus_surinamus",16.5,12.1,7.1,5.6,18.8,77.5,17.8,59.7,22.9,54.2,19.7,"Forest",1,2,"Carnivore","Invertivore","Insessorial",-4.02,7.73,0.73,-56.4,707437.36,"Extant"
"53","Pachyramphus_validus","Cotingidae","Passeriformes","Pachyramphus_validus",19.3,13.8,8.6,7.8,19.8,95.5,20.8,74.3,21.8,68.1,43,"Forest",2,3,"Carnivore","Invertivore","Insessorial",-31.74,0.34,-15.66,-50.38,6063334.02,"Extant"
"54","Pachyramphus_versicolor","Cotingidae","Passeriformes","Pachyramphus_versicolor",12.6,7.4,5.2,4.4,16.2,64.6,13.5,52.1,20.6,51.7,15.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.89,10.92,-1.66,-75.57,302157.64,"Extant"
"55","Pachyramphus_viridis","Cotingidae","Passeriformes","Pachyramphus_viridis",14.5,9.9,6.6,5.5,17.6,71.2,13.8,57.2,19.5,55.2,21,"Forest",2,2,"Carnivore","Invertivore","Insessorial",-32.34,8.06,-17.75,-49.92,5098620.61,"Extant"
"56","Pachyramphus_xanthogenys","Cotingidae","Passeriformes","Pachyramphus_xanthogenys",15.2,9.8,6.8,5.3,17.5,72.5,17.4,55,24.1,51.8,21,"Forest",1,2,"Carnivore","Invertivore","Insessorial",-13.63,0.97,-7.95,-75.18,63012.14,"Extant"
"57","Perissocephalus_tricolor","Cotingidae","Passeriformes","Perissocephalus_tricolor",47.7,29.3,15.5,15.1,40.1,211,31.4,179.8,14.9,112.6,338.9,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-3.34,8.26,2.29,-59.02,1655180.77,"Extant"
"58","Phibalura_flavirostris","Cotingidae","Passeriformes","Phibalura_flavirostris",13.3,9,6.4,5.9,18.7,98.5,32.3,66.2,32.8,103.9,46.5,"Forest",2,3,"Herbivore","Frugivore","Insessorial",-32.81,-12.91,-23.38,-48.43,1085140.75,"Extant"
"59","Phoenicircus_carnifex","Cotingidae","Passeriformes","Phoenicircus_carnifex",19.9,9.2,5.9,6.4,25.2,101.1,9.3,93.1,9.1,85.8,82.9,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-5.04,7.41,0.54,-54.84,1387247.24,"Extant"
"60","Phoenicircus_nigricollis","Cotingidae","Passeriformes","Phoenicircus_nigricollis",22.2,11.4,5.5,6.9,26.2,101.2,9.8,91.4,9.7,81.8,96.3,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-11.98,1.93,-4.37,-66.45,2636332.67,"Extant"
"61","Phytotoma_raimondii","Cotingidae","Passeriformes","Phytotoma_raimondii",18.8,10.1,7.3,8.1,24.5,89.3,11.6,75.7,12.9,87.3,39.8,"Woodland",2,1,"Herbivore","Herbivore terrestrial","Insessorial",-10.44,-3.67,-6.06,-80.1,2921.02,"Extant"
"62","Phytotoma_rara","Cotingidae","Passeriformes","Phytotoma_rara",17.6,10.2,7.7,8.6,24.4,88.9,15.1,73,17.1,79.6,47,"Shrubland",2,1,"Herbivore","Herbivore terrestrial","Insessorial",-53.31,-27.29,-41.84,-71.82,478077.69,"Extant"
"63","Phytotoma_rutila","Cotingidae","Passeriformes","Phytotoma_rutila",15.5,8.8,6.4,7.1,22.2,86.5,14.7,72,16.9,90.6,40.5,"Shrubland",2,1,"Herbivore","Herbivore terrestrial","Insessorial",-43.96,-16.09,-31.76,-63.02,1756370.23,"Extant"
"64","Pipreola_arcuata","Cotingidae","Passeriformes","Pipreola_arcuata",24.8,10.2,6.2,6.5,28.1,123.4,23.1,100,18.7,98.8,118,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.93,10.92,-3.81,-74.19,259332.07,"Extant"
"65","Pipreola_aureopectus","Cotingidae","Passeriformes","Pipreola_aureopectus",15.6,8,5.2,4.8,20.8,88.7,19,71.1,21,72.8,46,"Forest",1,1,"Herbivore","Frugivore","Insessorial",1.27,11.12,6.94,-74.1,83804.89,"Extant"
"66","Pipreola_chlorolepidota","Cotingidae","Passeriformes","Pipreola_chlorolepidota",14.2,8.4,5.2,4.3,17.5,74.8,14.9,59.9,20,43.9,29.5,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-13.85,1.27,-4.86,-77.2,88203.3,"Extant"
"67","Pipreola_formosa","Cotingidae","Passeriformes","Pipreola_formosa",15.4,7.6,4.9,4.6,20.1,87,18.1,68.9,20.9,62.2,47.2,"Forest",1,1,"Herbivore","Frugivore","Insessorial",9.7,10.76,10.32,-65.89,12048.9,"Extant"
"68","Pipreola_frontalis","Cotingidae","Passeriformes","Pipreola_frontalis",15.9,7.6,5.1,4.7,19.2,87.2,17,70.1,19.5,67.7,42.4,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.7,-0.19,-11.05,-73,150100.41,"Extant"
"69","Pipreola_intermedia","Cotingidae","Passeriformes","Pipreola_intermedia",17.2,7.3,4.6,5,23.8,94.5,14.9,79.6,15.8,83.1,51.2,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.91,-7.92,-13.22,-71.66,121136.09,"Extant"
"70","Pipreola_jucunda","Cotingidae","Passeriformes","Pipreola_jucunda",18.3,10.8,6.3,5.7,22,96,22.4,74.1,23.2,58,57,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-2.35,3.43,0.74,-78.31,13837.17,"Extant"
"71","Pipreola_lubomirskii","Cotingidae","Passeriformes","Pipreola_lubomirskii",17.1,9.4,5.8,5.1,21.6,92.5,19.6,72.8,21.2,63.5,57,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-6.17,2.12,-1.62,-77.93,28329.19,"Extant"
"72","Pipreola_pulchra","Cotingidae","Passeriformes","Pipreola_pulchra",18.4,8.9,5.7,5.8,22.1,94.1,17.4,76.7,18.5,72.2,58.2,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-13.42,-7.41,-11.01,-74.5,78215.76,"Extant"
"73","Pipreola_riefferii","Cotingidae","Passeriformes","Pipreola_riefferii",16.6,7.6,5.2,4.8,22.3,88.7,15,73.8,17.2,73.5,49.3,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-9.93,10.88,2.08,-75.49,257255.05,"Extant"
"74","Pipreola_whitelyi","Cotingidae","Passeriformes","Pipreola_whitelyi",15.7,8.6,5.1,4.9,20.5,95,22.1,72.9,23.3,63.2,50,"Forest",1,1,"Herbivore","Frugivore","Insessorial",4.86,5.82,5.36,-61.34,24788.58,"Extant"
"75","Porphyrolaema_porphyrolaema","Cotingidae","Passeriformes","Porphyrolaema_porphyrolaema",17.9,10.6,6.5,6.3,19.7,96.2,19.5,76.7,20.2,68.2,60,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-13.99,1.53,-6.09,-68.41,2187394.02,"Extant"
"76","Procnias_albus","Cotingidae","Passeriformes","Procnias_albus",26.7,10.7,7.1,6,26.8,150.5,34.9,115.6,23.4,83,210,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-6.46,8.29,3.95,-57.67,527310.4,"Extant"
"77","Procnias_averano","Cotingidae","Passeriformes","Procnias_averano",27.1,11.4,7.5,6.7,29.4,152.7,39.7,113.8,25.9,88,146.1,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-10.79,11.36,-4.18,-46.4,1123871.61,"Extant"
"78","Procnias_nudicollis","Cotingidae","Passeriformes","Procnias_nudicollis",27,10.9,7.1,5.9,29.4,148.4,35.1,111.6,24,82.6,172,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-32.22,-8.2,-21.31,-47.2,1467436.56,"Extant"
"79","Procnias_tricarunculatus","Cotingidae","Passeriformes","Procnias_tricarunculatus",27.8,16.2,9.7,7.4,29.4,166,38.3,127.7,23,113.2,210,"Forest",1,1,"Herbivore","Frugivore","Insessorial",7.27,15.62,10.37,-83.79,22550.75,"Extant"
"80","Pyroderus_scutatus","Cotingidae","Passeriformes","Pyroderus_scutatus",42.5,26.3,13.8,15.5,38,231,41,183.8,18.2,152.2,357,"Forest",1,2,"Omnivore","Frugivore","Insessorial",-30.68,11.04,-17.64,-52.87,2116677.8,"Extant"
"81","Querula_purpurata","Cotingidae","Passeriformes","Querula_purpurata",28.8,19.5,12.5,9.7,24.3,178.2,31.7,148.7,17.6,117.6,107.4,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-15.51,11.22,-4.22,-63.07,5636816.57,"Extant"
"82","Rupicola_peruvianus","Cotingidae","Passeriformes","Rupicola_peruvianus",31,15.4,8.8,12.4,36.7,183.5,21.7,162.2,11.6,120.3,242.5,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.54,8.34,-2.69,-74.42,257511.06,"Extant"
"83","Rupicola_rupicola","Cotingidae","Passeriformes","Rupicola_rupicola",31.1,19.3,10.6,12.4,34,177.8,24.6,154.2,13.8,88.8,194.6,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-3.13,8.3,2.68,-62.14,2067586.19,"Extant"
"84","Schiffornis_major","Cotingidae","Passeriformes","Schiffornis_major",15.9,9.4,4.8,5.4,18.8,78.3,9.3,69,11.7,55.3,31,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-17.43,5.17,-4.75,-67.21,3141459.06,"Extant"
"85","Schiffornis_turdina","Cotingidae","Passeriformes","Schiffornis_turdina",17.8,10.2,5.1,5.9,21.8,90,15.2,73.9,17,69.8,31.7,"Forest",1,1,"Omnivore","Omnivore","Insessorial",-23.02,21.23,-2.78,-63.76,7996718.02,"Extant"
