"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"613","Hypocnemis_striata","Thamnophilidae","Passeriformes","Hypocnemis_striata",16.5,9.4,4.6,4,19.7,52.9,4.8,48.6,9,41,12.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.07,-1.03,-6.33,-55.01,1133963.09,"Extant"
"614","Hypocnemis_subflava","Thamnophilidae","Passeriformes","Hypocnemis_subflava",16,9.4,4.2,3.9,19.8,53.4,6.1,47.4,11.3,40.6,12.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.8,-8.49,-13.08,-69.47,362426.01,"Extant"
"615","Hypocnemoides_maculicauda","Thamnophilidae","Passeriformes","Hypocnemoides_maculicauda",17.7,10.7,4,3.3,20.5,59.3,7.3,52.6,12.1,38.9,11.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.86,-0.54,-9.31,-59.53,3324431.81,"Extant"
"616","Hypocnemoides_melanopogon","Thamnophilidae","Passeriformes","Hypocnemoides_melanopogon",19.7,11.5,4.2,3.5,20.2,62.4,6.3,55.8,9.9,33,14.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.1,10.55,0.59,-62.99,3494411.77,"Extant"
"617","Hypoedaleus_guttatus","Thamnophilidae","Passeriformes","Hypoedaleus_guttatus",27.9,15.2,8.4,9.7,28.2,84.4,6.6,78.1,7.6,97.7,38.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-29.46,-8.66,-22.7,-48.66,829945.45,"Extant"
"618","Mackenziaena_leachii","Thamnophilidae","Passeriformes","Mackenziaena_leachii",25.9,14.2,6.1,9.2,36.4,89.5,4.6,85.3,5,130.4,70.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-32.25,-18.68,-25.57,-50.16,828525.05,"Extant"
"619","Mackenziaena_severa","Thamnophilidae","Passeriformes","Mackenziaena_severa",26.7,13.6,6.2,8.6,34.5,91.2,8.7,84.9,9.3,116.2,51.8,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-28.3,-14.34,-23.07,-48.81,955402.98,"Extant"
"620","Megastictus_margaritatus","Thamnophilidae","Passeriformes","Megastictus_margaritatus",20.4,12.2,5.2,5.2,19.9,68.7,9.5,59.7,13.7,46.7,20.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.16,6.36,-3.45,-68.12,1933727.21,"Extant"
"621","Microrhopias_quixensis","Thamnophilidae","Passeriformes","Microrhopias_quixensis",15.6,9.6,4.1,3.8,16.5,53,9.2,44.7,17.8,52.7,7.9,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-16.11,18.62,-3.56,-66.36,4104536.42,"Extant"
"622","Myrmeciza_atrothorax","Thamnophilidae","Passeriformes","Myrmeciza_atrothorax",16.8,9.4,3.8,3.9,24.9,55.3,7.5,49.4,13.5,52.3,16.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.78,7.71,-4.69,-62.39,6800794.01,"Extant"
